100000 100000
1 61457 67499
2 76102 98200
0 44878 96249
1 69389 80575
1 30667 56146
0 81373 57497
0 36113 40537
1 1524 34315
2 43170 22845
0 79938 97727
1 53814 40390
0 12003 99550
0 90432 50541
2 8120 79287
1 76110 90126
2 99568 65481
2 15638 73552
1 68213 77718
2 74621 3536
0 59754 63078
1 4414 62649
0 68517 99508
0 30585 85655
2 57282 39828
0 92139 6760
1 36459 43985
1 69279 97338
0 11150 91135
1 81437 58038
1 4085 33746
1 60921 94486
0 694 18241
2 79882 44042
0 70096 85084
0 10137 68215
1 71418 98475
0 28404 93814
0 79781 17010
0 21455 79902
2 22251 66548
0 21015 95830
2 7085 57279
0 90410 60598
2 14882 63026
1 34962 51587
0 66491 47475
1 48840 18516
1 41954 41517
0 31534 74966
0 94775 43292
2 30108 46337
2 11313 86280
1 66929 88501
1 92172 66014
0 7524 84040
0 57410 86883
1 51677 73391
0 38685 64646
1 28035 88565
1 24884 70949
0 35012 39910
2 75775 67949
0 32388 92566
2 62706 54671
1 38193 89206
2 15584 54560
2 24327 7481
0 40853 42004
0 93748 75522
1 71522 31521
0 47853 21202
2 51997 85177
2 62886 9037
2 49597 71732
0 94075 93884
0 14047 6787
0 52712 86288
0 32667 99546
0 70811 8993
0 70733 16937
1 69957 94092
1 28097 56038
1 73101 14447
1 74721 23719
1 27450 41728
1 25605 38632
2 99905 37273
1 93017 75672
1 68179 33928
1 32179 71083
0 10007 89670
1 51889 6774
0 19147 59660
2 71862 79605
0 13334 94142
1 14912 20545
1 55992 26552
0 8811 82284
0 40772 19254
1 87936 61158
0 69352 59916
1 87770 55433
0 5448 46346
1 37969 53080
0 43600 23395
2 37426 15783
2 12010 39998
0 69495 22061
1 98448 23901
1 20470 20033
0 40209 7101
1 13748 32353
0 41761 51345
0 28495 34721
0 85302 91145
2 7117 59733
1 1709 74668
0 51680 71801
0 40062 67103
1 47001 90892
1 44937 33254
1 96992 17271
2 65655 4798
2 75145 86339
2 12918 71928
1 19513 19310
2 264 59999
1 10766 40974
0 84783 12055
0 73015 33133
1 35538 26225
1 35859 5129
1 33640 18352
2 84177 26569
0 22769 59463
2 10454 81898
0 41679 70835
0 99906 14323
0 16541 99658
1 60938 16423
0 70718 19756
0 25757 45578
2 29528 60369
2 99227 21186
1 91903 69508
2 98598 12496
2 47285 51582
1 56323 92883
0 39254 82391
2 88615 79807
0 73157 7314
1 65141 71474
2 972 27817
2 31753 54948
0 34668 73937
0 26501 31757
1 68648 39308
2 50279 34045
0 70484 50411
0 10540 24085
0 1652 38294
1 43158 85438
2 54126 19645
1 72499 64641
0 50521 34250
2 13501 89642
2 21974 45098
0 32700 4832
0 68782 74383
2 39636 9216
0 5655 20846
1 42137 38690
1 76933 41914
1 36407 9654
0 37455 19416
1 69733 25787
1 92114 76972
1 6832 2606
2 31186 57914
0 65393 9600
2 36983 77222
2 72354 95963
2 43046 79877
2 20988 74873
2 82271 70959
1 40234 59144
1 57583 90716
1 33075 9588
0 14455 57507
0 3512 47655
0 85635 26496
1 92282 89112
1 78901 18561
2 40704 94940
2 48563 91640
1 84496 27215
2 77373 18484
1 54803 21615
0 28075 7453
2 23950 10730
2 96948 8329
1 61019 25528
1 66473 11898
0 46276 52234
2 40346 49955
1 1754 44834
2 20286 55002
2 77449 93161
1 98614 75953
0 9466 98676
1 34590 19769
0 22505 29022
0 28778 70915
1 21543 57219
2 63990 33870
0 5311 25061
1 9743 65203
1 55731 67252
2 49164 54031
0 39224 83846
1 86283 6226
0 63742 59902
0 82936 38006
0 11689 31785
1 70151 96362
2 64062 72710
2 78287 13838
2 17152 24637
1 14534 16333
0 95425 78025
2 66659 35352
0 55940 99812
2 67764 10538
1 12218 1718
0 40209 38195
2 47321 99638
0 97967 93200
2 90253 12484
0 97548 33246
0 90350 33486
2 69260 89868
0 56911 33836
0 65320 9537
0 92076 70575
2 96734 84529
1 44061 48902
1 50373 20530
2 68540 4470
1 27425 10962
0 94858 67781
2 11676 20763
0 8149 76431
2 90288 94357
2 55246 71342
2 66379 684
0 69955 71850
1 65922 5598
0 72420 90300
2 7252 42359
0 95939 83505
0 3136 6245
2 68413 57578
1 32217 22240
1 80857 82523
1 99905 90721
2 94452 19971
2 11321 33027
2 22097 55174
2 67143 19026
0 73715 68629
2 21418 76679
0 77565 69900
2 45216 34172
0 60608 67436
0 77755 43086
1 5099 87992
0 69881 61188
0 93850 70176
2 72284 77928
2 63405 61622
2 48586 4441
1 32108 83431
0 86597 85850
1 30843 86172
0 9540 69340
2 84514 82559
0 68097 35470
0 24236 32020
2 90054 96167
1 518 77966
0 28469 70354
1 24420 30125
2 45580 41747
1 11125 87759
1 57571 37748
0 4162 39935
1 88269 99896
1 54295 92757
0 78896 29568
0 27640 19188
2 2158 43776
2 25565 92256
0 4652 74954
0 39425 19948
1 25016 29489
0 2349 23762
0 90093 92037
0 67073 89073
0 3174 42624
2 52093 43215
1 11999 92719
2 68786 27325
2 3097 90245
2 21928 83838
2 50934 72424
2 68825 29739
2 39654 1348
1 1435 51028
1 95959 98657
0 91840 53328
0 75782 8453
1 2849 68083
0 36396 87101
2 82292 20369
0 70260 67304
2 65019 85702
2 40224 52856
1 60029 48964
1 80886 45042
2 2003 61394
1 31389 41508
2 68731 97478
0 64989 79550
1 51452 76091
0 95798 5993
1 54025 65515
1 70401 73072
2 55735 83081
0 8762 74227
2 32969 73291
0 32836 67903
0 23285 55612
0 44455 32702
2 50423 71016
1 75379 39077
1 24067 9383
1 7712 80116
2 5719 40772
1 66294 43875
2 98316 18700
2 79366 91701
1 61346 24722
0 90642 87350
2 75906 27710
2 21665 37559
2 93623 74426
1 81972 35025
1 63175 27542
2 67113 32773
1 84030 46980
0 38689 48380
2 92193 9081
1 82122 91824
1 89137 17289
1 82002 91080
0 44219 55893
0 17 29642
0 85603 18696
2 75351 43967
2 93252 20813
2 29071 70062
1 90884 97699
0 92944 65831
0 31000 49503
2 85371 63273
1 76255 9787
0 75785 34664
0 38605 55359
0 93969 96973
2 46222 84785
2 37369 65291
0 9372 36162
0 74860 66173
1 98466 34635
2 12829 61966
2 17691 81113
2 80701 29904
2 89416 393
2 81697 75611
2 47306 83278
1 80399 10403
2 65565 78184
1 68174 72773
2 78221 96376
1 49239 90874
1 55245 53058
2 47370 37824
0 85499 4850
0 74201 86921
1 74920 16385
2 66252 99241
0 70039 84075
1 71935 62503
1 72212 25909
1 69150 9857
2 21700 65120
2 90942 68796
0 2355 95607
2 4563 56978
1 41953 24464
2 65041 502
0 69979 34648
2 41665 71355
2 81533 69160
2 39259 37665
1 2921 27995
0 18674 34717
1 15589 36486
1 78149 45391
0 98373 14817
0 64116 90824
2 57980 76647
0 51965 8982
1 71399 87835
2 94674 8155
1 99872 80352
2 67430 80306
1 32281 13733
1 19209 55172
1 78665 46430
2 41606 58035
0 97074 93527
1 88013 30987
2 69773 83499
2 48097 60750
0 35612 37469
1 36078 18296
1 28781 1841
0 45267 55627
2 70150 50411
2 69334 34520
0 27867 65762
0 47611 7421
0 22852 96160
1 61269 20860
2 66892 90324
1 94263 87647
2 20819 86329
0 77317 14553
0 44666 86138
0 12444 28944
0 15232 84417
0 54495 57405
1 73714 10762
0 82783 97705
0 8459 50184
1 64289 74095
0 30948 86143
1 82400 27755
0 39680 87750
1 99323 54605
1 92287 76897
1 47721 39153
0 13650 9729
2 79613 68396
1 49454 68242
2 32559 21306
1 6585 17984
2 48677 22793
2 18604 53528
0 93479 57686
2 94629 93221
2 9111 13812
1 9202 97921
2 49320 36709
2 4047 84529
2 88443 48943
0 77023 28058
0 63670 47136
0 25639 59127
2 71619 62652
2 42328 62056
1 76342 61204
2 46108 42587
0 39090 76978
2 83075 59453
2 50404 14083
2 14531 74775
1 94123 73837
2 33288 96463
2 46456 49921
1 74243 66573
1 35993 66932
2 848 87452
1 81987 37328
1 66446 1139
1 28161 51396
2 77151 85973
0 68851 11042
1 81240 58060
1 24103 12970
2 68572 95380
1 4057 52170
0 42391 35338
2 16584 19752
1 73429 2317
1 53260 28149
0 58701 52413
0 35283 86180
0 59597 39627
0 93210 7923
1 50403 44638
2 30377 6370
2 40520 72614
2 1446 94775
2 92183 90390
2 94468 71309
1 96752 40306
0 76619 79591
2 56892 2645
2 21748 63613
2 50865 40787
2 64463 37568
1 71055 72306
1 83912 6164
1 86339 39902
0 50048 23720
2 27185 41366
1 24309 70756
0 31341 86220
0 27299 58247
2 50248 37233
2 43182 41735
1 70269 41233
2 31143 64209
0 36263 54768
0 32471 85797
2 76904 65045
2 53741 34084
0 44524 37445
1 85246 34055
2 30572 63190
0 65386 79565
0 85982 4842
1 89262 92184
0 57787 35958
1 41799 34042
2 25367 15822
2 82338 30901
1 22255 47560
2 89457 55405
2 43468 27406
1 79697 33133
2 42206 46580
2 44166 6533
2 79729 48336
1 86652 48062
0 3851 98874
0 52528 57335
0 63146 75085
2 51957 66503
2 23380 94039
0 62978 73040
1 32949 80962
0 60782 37535
2 60697 56171
1 50421 98635
2 86197 33034
0 93230 91204
0 64948 30237
2 3683 49243
1 87041 43546
2 9246 70388
0 62732 662
2 87206 25156
2 75393 60470
1 44253 1943
1 56981 66035
2 32403 54330
0 92881 85982
2 61637 14538
2 25378 1438
1 54765 55085
2 60273 13471
0 89715 67322
1 63357 92061
1 19062 36843
0 32149 51489
2 39343 87967
1 13601 47990
1 33174 58475
0 5196 21772
2 80925 88523
1 6978 6008
0 10177 95689
2 52881 16668
0 14238 79618
2 71236 83395
1 82146 82649
2 61361 47523
0 24939 32184
1 65566 9923
2 51935 85932
2 56923 86983
0 32389 87991
2 64462 39887
2 3744 51572
1 28594 94119
1 29200 60699
0 32370 66601
0 37197 55904
2 66016 67645
2 30134 46071
1 92486 98297
2 93004 68621
1 48254 58868
0 19392 52483
0 4907 85955
2 28033 35961
0 70405 89124
1 95025 47494
2 90739 80416
0 25265 87486
1 81211 53392
0 93289 42701
2 91539 14328
2 36647 5662
1 8096 95841
0 80136 9146
0 4665 4262
1 92451 72410
0 12993 77057
2 42315 77240
2 11476 17125
2 98633 45271
1 31700 56876
2 5235 63183
0 29196 17967
1 26052 79125
2 18950 24306
2 99256 39389
0 30442 58108
1 19301 24703
1 16961 71568
0 92114 85254
1 54658 40862
0 80185 54366
1 75211 95150
1 37933 17920
1 36507 56174
0 70317 95836
1 57235 38083
0 82284 92611
1 95490 38342
1 20641 88505
0 85653 89698
2 88981 58580
0 77855 44716
1 30521 72
2 46266 54591
1 15196 79957
0 90129 35852
0 55602 62061
2 59761 42015
0 61791 34173
0 56359 14788
0 37009 8001
0 25915 52392
1 97421 87300
1 30716 80748
1 5778 96638
2 37874 22095
0 59499 10514
0 44683 94412
2 60831 24442
0 52116 86907
1 33384 34335
0 74641 95067
0 39392 95456
1 46938 84268
1 65016 35293
0 46754 718
0 31012 31611
2 55762 22253
2 9887 46642
1 92416 96840
2 86279 80787
2 56064 15096
2 63058 19614
0 112 59469
2 38571 22981
2 13065 99895
2 26557 99712
0 93442 65871
1 44609 85567
1 72864 66660
2 81416 97014
1 68081 2289
0 88359 44091
2 89540 77957
1 52745 53048
1 23536 50266
1 26425 2870
0 4257 90519
2 97289 65383
2 25630 46252
0 43735 66366
2 32283 97786
1 86563 70502
0 68306 67763
2 53859 30354
1 65760 84039
0 28184 102
2 90754 18199
0 80220 10865
1 31585 56405
0 67894 3178
1 80521 10866
1 54150 19241
0 64878 63439
0 99513 73786
0 70353 60498
2 79996 30389
2 43304 80748
2 53267 54063
2 11018 79499
1 67326 79104
1 94062 48101
1 4446 45914
1 73260 99708
0 81743 69452
1 24795 45884
0 45725 54527
0 59635 94264
2 55456 77842
0 70455 45638
2 78227 50675
2 26451 58355
0 76276 47817
0 88352 6866
2 19844 25341
0 77928 91222
2 78588 59863
0 61806 62677
0 91340 62346
2 67654 81356
0 21308 31089
0 90311 33605
0 81837 18800
0 77559 54746
2 34677 74737
0 40010 95346
2 68416 63142
0 65708 84729
2 60179 80822
2 21077 71166
0 42695 8059
0 68365 37483
2 72882 25518
1 24537 17655
0 4619 74465
0 41111 24355
2 95921 31981
0 94296 81974
2 78422 78389
0 10668 32179
2 72343 84885
2 97791 42386
0 3542 45551
2 4596 61464
1 90199 58285
1 53757 81134
2 62295 90105
1 22110 76442
1 3795 15599
2 98989 92172
0 65438 17911
0 60884 54796
2 34761 27229
0 75208 9817
0 91042 31012
2 69641 27998
0 5151 87127
2 7698 23769
2 91681 528
1 80082 44591
1 78993 70123
0 64742 66469
0 59128 23887
0 50488 13174
1 33831 19441
1 18776 31561
1 66863 41825
1 7825 71419
2 17604 40797
0 70948 23659
0 51756 26147
0 87633 86892
0 14168 93597
2 49903 17627
0 3209 28902
0 92898 50662
1 78318 73013
0 61345 4431
0 50500 93140
0 34477 61910
2 87937 47748
1 30456 21901
1 17359 19869
2 2384 26922
2 34628 99745
2 86894 98783
1 84318 51386
1 788 60625
0 66325 10593
0 12532 83142
1 65959 44263
1 73349 94255
2 18625 7023
0 93804 20722
2 60226 41728
1 70105 15298
1 91978 34912
1 84630 47662
0 15397 44686
2 14767 83066
0 36037 56351
1 37632 76662
2 11502 35434
1 25040 73504
2 21273 22777
1 14087 31647
2 52714 62007
1 88652 78344
2 15067 20231
2 16901 42946
0 93267 24181
0 25999 23198
1 28809 7029
1 46798 70434
1 74521 8149
1 2868 30700
1 14673 4958
0 65067 62948
0 93735 41689
2 27102 69430
0 63660 66678
1 4678 45519
1 58742 36171
2 80877 33705
2 35490 74814
2 73160 89702
1 95578 65486
1 24105 28850
1 81453 60616
2 16504 74058
1 67794 80856
2 97680 75488
2 63482 10705
2 89022 10862
0 82647 97427
0 82989 20970
1 20270 16163
1 6393 53804
1 16443 1176
2 72560 86483
2 25036 55570
1 75083 53057
0 59395 93545
1 64309 22175
2 84240 3520
2 2971 97728
0 40768 50834
2 22315 75064
0 400 9643
0 21310 50326
0 25385 1615
2 95938 90362
0 38473 42326
2 63153 50263
0 71991 60674
1 76085 32254
2 40980 75280
1 30116 3613
2 7343 72757
1 7431 24067
0 84398 96688
2 96381 16782
2 53812 1554
1 327 79716
0 32464 40408
0 86449 40079
0 15707 66188
2 34883 90154
2 67458 69030
1 58654 57129
2 55531 64441
0 20841 76984
2 99344 34361
1 94281 20386
0 14645 55533
2 95935 96842
1 22873 11641
1 50736 16552
2 47284 80117
0 25631 85272
1 431 27537
1 89867 13321
2 22369 56778
0 69272 32093
1 45251 20075
1 87941 85037
0 18234 16642
1 45758 26721
1 31114 37593
0 99832 42961
0 32915 74762
0 88262 28197
2 82624 51541
1 11532 48738
1 30474 75007
0 56654 87157
1 27963 12345
0 87537 61966
2 9076 58165
1 1463 96386
2 25536 99820
1 53928 70415
1 20804 6611
1 40503 6392
0 44325 97512
1 14814 80596
0 61391 39732
2 89887 14720
0 18413 49627
2 39500 35387
1 7132 28662
1 53283 71550
0 15579 83168
1 69852 46744
0 12261 91109
2 27770 76878
0 85543 20578
0 19917 57682
0 38289 80317
1 95411 69175
1 81941 85172
0 24643 30861
1 40656 93682
1 62481 34358
0 32273 668
2 1881 60156
1 79033 12304
2 15329 51771
1 30427 2123
2 62171 94925
1 13380 87776
1 76917 42409
1 82540 49604
0 86549 32458
2 377 80124
0 95786 76944
0 52638 53241
0 38500 69723
2 53359 84307
2 58549 88623
1 38557 67045
2 21034 37220
2 46648 92164
1 13385 94617
0 54790 52452
2 60498 24550
0 55439 59818
0 9674 64151
0 45886 92922
1 14258 93198
0 90012 48311
1 3835 95200
1 12160 36823
2 16650 88827
2 88324 19966
2 22875 39396
2 43601 21526
1 76519 23452
0 63357 56207
2 67716 27817
1 54235 90372
1 74192 2124
0 75011 80759
1 48994 92589
2 85114 57739
0 37312 6710
0 12150 65035
0 13858 78857
2 67708 3947
0 86571 93682
2 80031 21132
2 41817 42674
2 14833 97896
1 31349 29152
1 39758 11212
2 42317 44810
1 66510 34234
0 34348 53388
2 1025 8741
0 75632 30053
0 74016 96259
1 64525 7293
0 95002 90288
0 70006 71094
0 91455 28897
0 69841 603
1 12209 92313
0 90364 84677
0 84994 41303
2 37358 86492
0 39948 51398
1 6679 49987
0 51941 32361
1 93612 99028
2 19579 40561
1 10150 6184
1 32831 72427
2 64468 64846
0 66209 13044
1 43962 72446
2 84468 91336
0 72254 58284
1 80943 73419
1 22990 32536
0 37669 65324
2 12236 72934
1 58264 91417
1 482 83195
0 29390 25332
2 53056 99820
2 8317 27371
0 12015 45618
1 22062 3987
1 58639 52934
1 69379 94414
0 52743 2745
0 47369 31381
2 9146 55292
1 98582 38293
2 78104 33719
0 23746 18737
0 67818 91271
0 1076 30993
2 98819 47045
1 66435 17707
0 86876 21872
2 78841 24065
2 18456 19424
2 13911 99550
1 7023 83588
2 96940 21863
0 98546 41281
0 92710 29190
2 50717 64780
1 49591 42398
2 36605 39581
0 82351 74663
1 92854 356
2 36857 87809
1 50054 50035
2 74079 44189
0 10941 14607
0 31976 32189
0 9314 37717
2 81128 3582
0 17817 50440
2 83032 18705
2 84053 67067
2 87992 1387
0 60118 71518
0 31605 90605
1 95880 74175
0 40459 28909
2 92094 3449
0 18427 9392
1 13868 68734
0 41355 94426
1 22043 62670
1 29459 57667
0 70035 14437
0 71887 99675
0 30460 397
2 29803 37134
1 79239 59639
1 60762 8448
1 93941 96746
2 2580 19646
1 50814 91073
1 91519 12767
0 81943 96860
2 10912 26385
2 44682 14980
2 10585 36060
0 73930 70204
2 25845 6165
2 60745 62830
2 86916 10991
1 32897 18441
1 22165 62479
1 71910 60550
1 86210 47598
0 9549 77450
0 8066 45877
2 75179 35891
2 60997 49435
0 18225 63006
2 37931 3463
0 25054 4596
2 5232 60994
2 27794 8021
0 39429 5171
0 57899 73592
0 22625 86943
1 98685 79340
2 67471 72810
0 30331 88030
1 99317 22556
1 50510 7837
0 46465 82960
1 15745 56549
0 1328 54878
1 86687 14736
0 87728 4210
1 45095 13653
0 234 75276
2 76430 91281
2 12316 71145
1 58110 44567
1 96468 40642
0 73433 12906
1 73842 19552
1 8684 29268
1 91872 13883
1 41992 48604
0 57517 94552
2 55539 43792
1 87042 13500
0 67747 50661
0 86626 13951
0 79877 32067
2 3312 72321
0 94168 63594
1 65180 2525
0 3282 68249
2 88343 4713
0 14670 10849
1 58131 69833
0 7645 76139
2 30864 18811
2 61225 722
0 71775 37681
0 42071 73404
1 85813 70698
2 39331 56008
1 25205 24302
2 94756 84756
1 15974 93228
0 34978 93533
2 11111 45696
2 42958 35940
1 45296 54420
1 16729 39193
1 86992 77966
0 7969 9000
2 51317 89459
1 52123 5517
2 38347 82138
0 42158 32175
2 75874 52687
1 3411 58380
2 61947 35840
1 81891 88673
0 55050 61757
1 22229 47547
2 77138 64569
2 40280 44560
0 65480 61076
0 34459 87580
1 54619 78047
0 11587 11134
2 31546 695
1 73419 48319
1 1735 21808
2 60847 7029
0 40452 97596
2 40529 52753
1 21993 3194
2 27643 22860
2 93979 6970
2 28503 67291
1 6869 53606
1 49931 3073
2 5808 83116
0 74161 36449
0 18486 60931
2 17591 86930
1 63926 6195
2 27880 90495
1 81958 7348
1 18253 26408
1 21526 75051
2 95318 5385
1 42808 60640
0 25940 56683
2 15527 79589
2 51174 54456
1 54396 33442
0 59146 31746
2 2666 42420
0 33356 10529
0 20542 34110
1 20275 46389
0 77917 61630
0 99116 91496
0 65147 58210
1 94763 73220
2 75202 39369
2 24720 68429
1 1527 16227
0 20539 32983
1 24010 15181
0 80663 81667
2 72881 51267
1 18958 55295
1 58329 8386
2 38530 8009
2 35131 98763
0 98156 86586
0 67819 63691
1 91893 4099
0 3034 10314
0 83516 97173
2 44489 75176
2 90125 71193
2 81933 96066
2 5896 52803
1 98304 89068
2 40956 35597
2 53442 17987
2 35228 76988
0 23842 74518
1 24735 59103
2 7807 64690
2 18415 30390
0 44011 40679
2 31321 98949
1 80196 15374
2 62842 75297
0 24008 45244
0 33106 5925
1 88793 4009
1 30434 43052
0 85938 78428
2 96892 27047
1 25468 56992
1 84149 76484
0 79528 57384
1 69755 86024
1 50001 83923
2 16720 40871
0 34962 34476
2 88969 41827
0 88236 12676
0 94149 27017
1 15117 1691
1 99959 29930
2 17577 78107
0 67007 12660
0 88492 389
0 75759 67889
0 1672 96905
1 42732 63249
0 99091 27031
1 13502 55110
1 34641 80893
1 5794 35356
1 59554 56465
1 47058 71229
2 85502 27483
0 29274 95741
0 68100 91026
1 12653 78563
1 29800 84455
1 51038 16631
1 17298 71692
0 22703 82450
2 35694 70873
1 13339 34460
2 92588 1354
0 72563 99486
0 70868 38378
0 46001 26344
0 22956 60034
0 33851 85272
0 53473 94494
1 3545 8599
0 70842 10890
0 22518 94471
0 70898 56483
2 4268 45803
0 72768 13730
1 98948 31017
1 39662 70676
0 58892 64341
0 58295 79024
0 32587 47889
0 59669 21286
0 78271 61051
0 35216 68818
0 78302 59122
0 6932 27786
0 74095 42057
0 31096 69633
1 65910 289
1 93513 73838
0 10236 11262
0 52640 77786
1 55552 45077
0 20745 99337
2 69165 69225
0 33637 24567
1 14225 81658
1 68349 7084
1 48720 24808
1 87357 30928
2 82551 51908
2 45630 98918
0 73528 90935
0 53755 49976
0 9626 38353
0 49712 25144
1 4910 39037
2 87805 3510
2 60873 89427
0 65054 12138
2 42988 5433
1 84037 63391
1 35021 31639
0 3655 44127
2 62080 6805
1 98821 71928
2 95103 71948
1 53759 10165
1 77416 12172
0 76659 51137
2 95566 15228
0 45839 10039
1 43208 2174
1 55635 12214
2 83029 90675
1 72912 72155
1 57706 65014
2 53560 57343
2 49872 51271
1 49448 80878
0 36639 62278
2 61172 86715
2 58253 4927
2 51102 2377
0 52757 4165
0 60657 84303
1 48461 15355
2 28739 76223
0 30045 7836
0 23573 35369
1 79849 53244
1 32130 85977
0 14316 84304
2 42967 3256
1 84143 65567
2 63633 28545
2 54443 44400
0 26546 5092
2 81297 7577
2 31397 15254
2 71306 11992
1 42476 30083
0 87602 54999
1 57612 93029
0 21786 66077
0 57712 74298
0 26700 49702
0 63478 6869
0 18929 93174
1 90830 73635
2 20415 14294
2 6771 65467
1 38921 76718
1 69430 63952
0 70431 98554
1 60399 59072
0 45312 95348
2 63250 62148
0 42799 60756
1 42372 11976
2 77021 94807
1 95278 30853
1 91382 85640
1 79942 82898
1 177 91747
0 79436 34744
2 96563 62042
2 53777 60869
2 2828 37964
1 96148 65904
2 78536 66581
0 97980 59226
2 13061 44361
1 86782 56758
0 15787 99118
2 79186 82640
2 88657 56377
0 86065 48751
0 46444 94503
0 87592 41669
2 7503 46318
2 26698 16569
2 60272 45468
0 30779 29519
2 57850 64493
2 37354 73261
1 97135 40915
2 98614 90848
2 57441 53667
2 75614 57441
0 23321 95168
1 84696 87574
1 89032 81541
0 56515 62583
1 95580 19805
1 26988 25441
2 58860 73764
1 3476 30941
0 43523 7976
2 86660 70036
2 15466 35835
0 59072 73454
2 69308 18994
1 11176 50189
0 1199 99986
2 80184 70765
0 3665 27701
0 64428 85496
2 39302 40275
2 8834 52921
1 52028 74988
0 2525 90621
1 48397 37006
0 76152 73199
0 98625 47424
1 65083 26881
0 75208 27084
2 88393 93714
1 53872 2133
0 34116 89731
1 54521 64301
0 46848 98795
2 58140 24039
0 9906 69623
2 44983 39291
1 53793 93592
2 12745 38855
1 20074 12048
1 71538 21828
1 69817 62724
0 60980 31798
2 44226 64299
2 63148 34865
1 73564 79168
1 37234 12764
0 77786 15769
0 12930 8641
1 65293 13438
1 1073 58948
0 38123 24324
2 44995 71080
2 18350 21954
0 41251 72530
0 34677 58526
2 21986 25317
2 93615 11224
0 26854 70427
1 84077 40055
1 26980 49980
1 18414 68267
0 92746 74376
0 42999 4671
2 24165 10210
0 26030 85820
0 48010 80516
2 21413 24029
1 46282 34537
0 412 37458
0 11178 71270
2 33424 83060
0 15073 33258
1 47072 79877
1 69442 66435
1 23113 16698
2 49483 27466
2 46739 87161
0 33156 78548
0 90589 34296
2 22389 35311
2 20423 51788
2 90148 54514
0 70371 29110
1 83120 70650
1 91222 19834
0 6571 44126
2 51630 28117
1 4568 78057
0 1292 79519
2 28680 93894
2 52088 50975
1 14000 42631
2 69451 95336
2 4617 13551
2 60841 11853
2 28669 32763
1 79307 64725
1 47269 29412
1 63714 21355
2 27231 46465
0 9777 12409
0 56340 84554
2 78921 23917
1 45279 4303
2 1678 99335
2 40986 49150
2 65886 5988
1 39194 43877
1 36170 85164
2 90106 50296
0 10158 79180
2 89608 7240
0 3970 48958
2 38178 36194
2 95368 26535
0 76253 5490
1 81199 81117
0 2411 48823
1 40154 51992
2 28903 69641
0 93312 688
1 8214 29932
1 39101 44393
2 60947 62243
1 39884 2399
1 16146 39227
2 82304 47649
1 23513 14549
0 58510 91362
0 78240 81449
1 81518 23846
1 90447 13028
2 5971 17807
2 84520 93310
2 36633 32695
0 73073 98178
0 54128 91554
0 77651 15663
2 88743 2725
2 78716 13077
2 86901 72945
1 58429 30880
1 14537 66397
1 64786 15525
0 61705 56824
2 60020 1755
2 7239 10349
0 21234 30505
2 98300 91291
2 79031 91087
1 66068 90491
0 82665 99851
1 70072 39175
0 81866 99827
1 49117 17566
1 86228 25667
1 8636 38455
2 70466 23690
1 67298 51066
2 54546 54348
1 95361 69155
1 80579 28314
0 24698 32597
0 60517 53202
0 66658 35584
1 78912 28548
2 72227 12111
2 86834 76319
0 26498 89301
0 71965 33309
0 95715 65649
2 10322 53859
2 31441 68208
2 73934 90137
1 34821 61761
2 44785 83559
1 81856 50489
0 61905 1280
1 7091 43353
0 95986 87944
0 76237 81551
0 5587 55628
0 85367 46080
1 67677 65343
0 83638 17571
0 11547 72782
0 63774 80943
0 10972 23467
2 26705 89593
2 60384 52780
0 2871 8560
1 28727 80035
0 87834 88357
0 21505 63820
2 7608 35366
1 62700 927
0 35153 29298
1 40820 3993
0 58511 3838
1 51488 43048
1 52428 18232
2 91701 85370
1 63826 72456
1 41806 65704
2 11010 94547
0 58476 913
0 8238 22391
0 11561 62209
1 45076 41806
0 78688 19798
2 56708 84852
0 39921 19553
1 78454 44423
0 60663 14262
2 16006 95282
2 27035 15595
2 88983 84249
1 91920 39469
0 56871 70630
1 74428 17691
2 20830 47664
1 12375 38846
1 4247 54605
1 36428 14058
2 83804 21131
2 25426 56325
1 15630 62730
0 82761 59946
2 18887 23594
1 74944 32960
0 93615 35282
2 45147 97812
1 64734 29092
1 31736 6031
2 18933 24209
0 30857 47305
1 97300 47563
2 42699 85333
0 89877 58266
2 52714 1655
0 30593 53758
1 22866 58766
2 64729 23045
0 66320 95064
1 62721 65454
1 13575 67782
2 53662 74289
2 81438 91678
1 50782 73344
0 71152 97617
1 80560 93282
0 34488 14230
1 89124 75723
2 33224 25743
1 29008 24390
1 96865 3916
2 27275 56371
0 21961 43764
0 11001 17450
1 78684 19650
2 37268 8254
0 39393 62773
2 54849 7090
2 51419 11983
0 55759 25239
2 44326 13386
0 27365 94377
1 27567 63886
1 84063 28439
0 18937 83291
2 31824 73829
2 55303 2834
2 98274 18789
0 56217 13463
0 58773 54433
2 63065 20630
1 33280 35592
0 29409 82593
2 36616 28068
0 15679 75913
0 12474 74621
0 27606 55039
0 87573 8690
0 16882 14749
0 2251 60909
2 33805 72766
0 12301 90789
2 73859 81273
1 18196 12586
2 41917 7859
0 3163 14918
2 24265 52141
1 15995 4867
0 58131 19897
2 84546 29615
2 9682 30076
0 50271 5915
1 2119 70733
0 18966 89707
2 10185 41402
2 57004 61244
0 81934 99127
2 67705 59466
1 38018 89372
0 94378 64560
2 70170 25631
0 12810 82739
0 76302 25692
1 92535 98458
0 31406 37246
1 40223 44041
2 21376 10089
1 28685 11439
0 28007 959
0 67051 11083
1 39894 75073
1 9969 63487
1 92880 43085
2 35860 164
0 65693 29820
2 89547 38559
1 83957 63582
1 27576 3057
